Run,Episode,Total Steps,Episode Reward
1,1119,435644,500.0
1,1120,436144,500.0
1,1121,436644,500.0
1,1122,437144,500.0
1,1123,437644,500.0
1,1124,438144,500.0
1,1125,438644,500.0
1,1126,439144,500.0
1,1127,439644,500.0
1,1128,440144,500.0
1,1129,440644,500.0
1,1130,441144,500.0
1,1131,441644,500.0
1,1132,442144,500.0
1,1133,442644,500.0
1,1134,443144,500.0
1,1135,443644,500.0
1,1136,444144,500.0
1,1137,444644,500.0
1,1138,445144,500.0
1,1139,445644,500.0
1,1140,446144,500.0
1,1141,446644,500.0
1,1142,447144,500.0
1,1143,447644,500.0
1,1144,447726,82.0
1,1145,448226,500.0
1,1146,448726,500.0
1,1147,449226,500.0
1,1148,449726,500.0
1,1149,450226,500.0
1,1150,450726,500.0
1,1151,451226,500.0
1,1152,451726,500.0
1,1153,452226,500.0
1,1154,452726,500.0
1,1155,453226,500.0
1,1156,453726,500.0
1,1157,454226,500.0
1,1158,454726,500.0
1,1159,455226,500.0
1,1160,455726,500.0
1,1161,456226,500.0
1,1162,456726,500.0
1,1163,457226,500.0
1,1164,457726,500.0
1,1165,458226,500.0
1,1166,458726,500.0
1,1167,459226,500.0
1,1168,459726,500.0
1,1169,460226,500.0
1,1170,460726,500.0
1,1171,461226,500.0
1,1172,461726,500.0
1,1173,462226,500.0
1,1174,462726,500.0
1,1175,463226,500.0
1,1176,463726,500.0
1,1177,464226,500.0
1,1178,464726,500.0
1,1179,465226,500.0
1,1180,465726,500.0
1,1181,466226,500.0
1,1182,466726,500.0
1,1183,467226,500.0
1,1184,467726,500.0
1,1185,468226,500.0
1,1186,468726,500.0
1,1187,469226,500.0
1,1188,469726,500.0
1,1189,470226,500.0
1,1190,470726,500.0
1,1191,471226,500.0
1,1192,471726,500.0
1,1193,472226,500.0
1,1194,472726,500.0
1,1195,473226,500.0
1,1196,473726,500.0
1,1197,474226,500.0
1,1198,474726,500.0
1,1199,475226,500.0
1,1200,475726,500.0
1,1201,476226,500.0
1,1202,476726,500.0
1,1203,477226,500.0
1,1204,477726,500.0
1,1205,478226,500.0
1,1206,478726,500.0
1,1207,479226,500.0
1,1208,479726,500.0
1,1209,480226,500.0
1,1210,480726,500.0
1,1211,481226,500.0
1,1212,481726,500.0
1,1213,482226,500.0
1,1214,482726,500.0
1,1215,483226,500.0
1,1216,483726,500.0
1,1217,484226,500.0
1,1218,484726,500.0
1,1219,485226,500.0
1,1220,485726,500.0
1,1221,486226,500.0
1,1222,486726,500.0
1,1223,487226,500.0
1,1224,487726,500.0
1,1225,488226,500.0
1,1226,488726,500.0
1,1227,489226,500.0
1,1228,489726,500.0
1,1229,490226,500.0
1,1230,490726,500.0
1,1231,491226,500.0
1,1232,491726,500.0
1,1233,492226,500.0
1,1234,492726,500.0
1,1235,493226,500.0
1,1236,493726,500.0
1,1237,494226,500.0
1,1238,494726,500.0
1,1239,495226,500.0
1,1240,495726,500.0
1,1241,496226,500.0
1,1242,496726,500.0
1,1243,497226,500.0
1,1244,497726,500.0
1,1245,498226,500.0
